name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Colombia,COL,3115635874,10235419011,6750618035,8885767540,10564672091,8034594780,6429943091,14647755354,-15039372277,16208677908,16163137319
Canada,CAN,1441912587,25545319852,64302242675,1.20E+11,70116945931,20931399830,29712896616,38318064819,49377811367,67047596545,64253194578
Brazil,BRA,18181190855,15459981604,19378093068,44579492464,50716402711,31480932200,88452079264,1.01E+11,86606502981,69181422947,96894980842
Germany,DEU,-20444719446,59855759874,87441737296,50845049519,30926055579,56668665258,86053684912,67480731020,65464274951,67407574807,16721265607
France,FRA,35581202492,85179159787,78945704920,83780962091,67999194663,18380195793,38899924638,44191741840,32950453828,31589259642,-1048274594
Russian,RUS,15402990000,15508050000,37594770000,55873680000,74782910000,36583100000,43167780000,55083630000,50587560000,69218890000,22031320000
Singapore,SGP,24390314129,18090329984,36923890241,47733209770,12200705252,23821209700,55075864345,49155975338,56236647375,64684568049,73986661931
Spain,ESP,25176365229,26720350857,32989821047,73772822154,79557788103,13478740375,41020054117,31782139561,24915158981,52287690611,35775858957
Ireland,IRL,-10994234313,47028464779,22080936155,59941052660,23258563614,53935264225,37763638573,23664918435,40961642315,49960134752,86765614578
Australia,AUS,42907672820,-25093141435,30551100657,44440090038,45160024271,28683266148,35210733743,65554890650,57550426823,53997299140,45978797620
Saudi Arabia,SAU,-334320000,12106749694,18317596796,24333811514,39455863929,36457666667,29232706667,16308280000,12182373333,8864693333,8011786667
Hungary,HUN,4538099567,8505362817,18678720025,70631297039,75013000490,-2967152013,-20933508134,-10506179880,10618888829,-3772123439,12961326674
